epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.348,0.79406,2.29027,1.38232,0.49722,0.56778,0.56229,0.37302,1.04173,1.61344,1.6738,0.000332329,0.000332329,0.000332329
2,203.923,0.79014,1.60247,1.3605,0.39465,0.55888,0.51446,0.30138,1.39376,1.86097,2.23062,0.000652483,0.000652483,0.000652483
3,301.449,0.78974,1.44178,1.357,0.56994,0.67695,0.67631,0.48918,0.97118,1.27092,1.57247,0.000959436,0.000959436,0.000959436
4,399.938,0.75127,1.30502,1.32036,0.70688,0.58893,0.70665,0.50727,0.92921,1.3721,1.52547,0.0009406,0.0009406,0.0009406
5,495.703,0.72012,1.19439,1.30096,0.57594,0.68736,0.68629,0.50418,0.93402,1.31957,1.43852,0.0009208,0.0009208,0.0009208
6,592.359,0.6961,1.15057,1.2808,0.55073,0.73541,0.72752,0.54288,0.82324,1.29895,1.33376,0.000901,0.000901,0.000901
7,689.812,0.68193,1.07641,1.26614,0.61447,0.79514,0.77313,0.63195,0.66355,1.16658,1.2036,0.0008812,0.0008812,0.0008812
8,787.302,0.67227,1.05193,1.26118,0.70282,0.76873,0.82356,0.67476,0.70247,0.90826,1.24835,0.0008614,0.0008614,0.0008614
9,885.146,0.64244,0.99452,1.23874,0.7585,0.74271,0.81302,0.65064,0.77615,0.91119,1.29009,0.0008416,0.0008416,0.0008416
10,983.106,0.63569,0.9506,1.23146,0.74458,0.73942,0.84073,0.68409,0.69434,0.93392,1.23026,0.0008218,0.0008218,0.0008218
11,1080.59,0.62352,0.92415,1.2291,0.72608,0.74585,0.82519,0.67475,0.68282,0.99181,1.19687,0.000802,0.000802,0.000802
12,1178.56,0.61077,0.8835,1.21502,0.71076,0.79048,0.85103,0.70703,0.66027,0.83507,1.2029,0.0007822,0.0007822,0.0007822
13,1277.24,0.60158,0.87963,1.21648,0.7641,0.76147,0.84296,0.68437,0.712,0.86027,1.21675,0.0007624,0.0007624,0.0007624
14,1374.28,0.58783,0.8313,1.20217,0.8002,0.8566,0.87143,0.73348,0.62985,0.752,1.15982,0.0007426,0.0007426,0.0007426
15,1472.6,0.58773,0.82469,1.20368,0.85622,0.761,0.89299,0.74947,0.63926,0.767,1.18257,0.0007228,0.0007228,0.0007228
16,1569.52,0.57995,0.80373,1.19569,0.74154,0.72694,0.79275,0.64436,0.69923,1.07141,1.19835,0.000703,0.000703,0.000703
17,1667.28,0.57576,0.78087,1.19265,0.8061,0.83501,0.87071,0.73513,0.64929,0.74857,1.17027,0.0006832,0.0006832,0.0006832
18,1763.55,0.57129,0.75917,1.18962,0.84841,0.80049,0.89568,0.73511,0.71785,0.73905,1.20484,0.0006634,0.0006634,0.0006634
19,1861.6,0.56593,0.75666,1.18517,0.86645,0.83445,0.91567,0.78742,0.59321,0.64358,1.14911,0.0006436,0.0006436,0.0006436
20,1958.9,0.55283,0.73528,1.17563,0.83027,0.79783,0.88187,0.74048,0.65086,0.76793,1.15335,0.0006238,0.0006238,0.0006238
21,2057.07,0.54189,0.71573,1.17143,0.83527,0.81781,0.90069,0.74817,0.68383,0.65956,1.17735,0.000604,0.000604,0.000604
22,2154.41,0.53935,0.69859,1.16964,0.84285,0.83104,0.89951,0.74984,0.70052,0.67106,1.20485,0.0005842,0.0005842,0.0005842
23,2252.71,0.54155,0.68325,1.16274,0.85842,0.84933,0.91765,0.77082,0.65169,0.62441,1.15843,0.0005644,0.0005644,0.0005644
24,2350.85,0.52909,0.6664,1.1596,0.86648,0.84822,0.90321,0.77754,0.58195,0.62825,1.10648,0.0005446,0.0005446,0.0005446
25,2449.85,0.52113,0.65453,1.15512,0.84057,0.80533,0.90557,0.79591,0.5225,0.67832,1.05038,0.0005248,0.0005248,0.0005248
26,2547.57,0.51612,0.65829,1.14995,0.86933,0.81953,0.90898,0.80247,0.5326,0.63104,1.06128,0.000505,0.000505,0.000505
27,2646.85,0.51484,0.62703,1.14772,0.8954,0.86489,0.9217,0.80665,0.56847,0.58296,1.10657,0.0004852,0.0004852,0.0004852
28,2744.52,0.50579,0.61716,1.14114,0.87717,0.86775,0.91459,0.7892,0.57427,0.59978,1.1192,0.0004654,0.0004654,0.0004654
29,2843.04,0.49096,0.61475,1.13386,0.86593,0.84543,0.92132,0.81072,0.5538,0.6263,1.0635,0.0004456,0.0004456,0.0004456
30,2942.89,0.49842,0.59477,1.13505,0.86831,0.8769,0.92697,0.82402,0.54549,0.56755,1.06866,0.0004258,0.0004258,0.0004258
31,3043.79,0.4952,0.58568,1.13813,0.91753,0.85836,0.93408,0.81808,0.57983,0.53415,1.10341,0.000406,0.000406,0.000406
32,3141.94,0.48142,0.57548,1.12911,0.87916,0.8379,0.92312,0.81262,0.53341,0.58652,1.07735,0.0003862,0.0003862,0.0003862
33,3241.92,0.4806,0.5608,1.12608,0.86271,0.8731,0.93056,0.82287,0.51952,0.59263,1.04737,0.0003664,0.0003664,0.0003664
34,3342.11,0.46628,0.53678,1.11333,0.89885,0.85664,0.93535,0.83591,0.51679,0.52634,1.04425,0.0003466,0.0003466,0.0003466
35,3441.21,0.46917,0.53944,1.11811,0.89977,0.87398,0.93732,0.83742,0.52907,0.51306,1.05961,0.0003268,0.0003268,0.0003268
36,3540.65,0.45831,0.52661,1.11297,0.92114,0.85913,0.93837,0.83563,0.51253,0.51581,1.04885,0.000307,0.000307,0.000307
37,3639.77,0.46265,0.51775,1.11278,0.89889,0.86413,0.94098,0.8406,0.52126,0.52304,1.05398,0.0002872,0.0002872,0.0002872
38,3739.64,0.45477,0.50814,1.10619,0.87673,0.86199,0.92372,0.82096,0.5186,0.55554,1.05735,0.0002674,0.0002674,0.0002674
39,3837.98,0.44688,0.49607,1.103,0.90963,0.89284,0.94384,0.83216,0.53884,0.51772,1.08201,0.0002476,0.0002476,0.0002476
40,3938.03,0.44618,0.48875,1.09836,0.90283,0.91674,0.94941,0.84259,0.52886,0.50223,1.07395,0.0002278,0.0002278,0.0002278
41,4034.96,0.4233,0.36509,1.16551,0.88916,0.89276,0.93267,0.82845,0.528,0.5289,1.07902,0.000208,0.000208,0.000208
42,4128.76,0.39948,0.31011,1.13029,0.90068,0.86383,0.92607,0.82259,0.50824,0.5271,1.05122,0.0001882,0.0001882,0.0001882
43,4223.43,0.38532,0.30143,1.12057,0.88599,0.87946,0.93116,0.83195,0.49386,0.53016,1.03532,0.0001684,0.0001684,0.0001684
44,4318.04,0.38076,0.28398,1.12149,0.90406,0.85537,0.93163,0.83237,0.49529,0.53176,1.04511,0.0001486,0.0001486,0.0001486
45,4410.94,0.37203,0.27586,1.1122,0.87319,0.89115,0.92761,0.83393,0.47607,0.54275,1.02466,0.0001288,0.0001288,0.0001288
46,4505.04,0.36483,0.26311,1.10155,0.86435,0.88976,0.94021,0.8435,0.48704,0.52018,1.0297,0.000109,0.000109,0.000109
47,4599.01,0.35053,0.2548,1.08775,0.89528,0.86116,0.9198,0.82577,0.48892,0.52815,1.05008,8.92e-05,8.92e-05,8.92e-05
48,4692.79,0.34663,0.25679,1.08761,0.89769,0.87214,0.93162,0.83551,0.48696,0.5163,1.03932,6.94e-05,6.94e-05,6.94e-05
49,4786.94,0.33356,0.24463,1.07283,0.90645,0.87856,0.93178,0.83799,0.47357,0.49768,1.0289,4.96e-05,4.96e-05,4.96e-05
50,4881.52,0.33569,0.24185,1.07606,0.90496,0.86792,0.93024,0.8344,0.48325,0.51924,1.04007,2.98e-05,2.98e-05,2.98e-05
